DATE	COMP	HE01	HE02	HE03	HE04	HE05	HE06	HE07	HE08	HE09	HE10	HE11	HE12	HE13	HE14	HE15	HE16	HE17	HE18	HE19	HE20	HE21	HE22	HE23	HE24
2/3/2015	RTO	101025.876	99517.871	99007.086	99597.371	101975.897	107505.062	116459.993	121191.235	120326.178	118222.96	115519.44	111994.691	108765.007	106494.688	104450.111	103728.638	105380.413	110811.672	116476.344	117035.903	115672.656	111978.068	106275.161	100384.839
2/4/2015	RTO	96492.696	94344.931	93551.522	93487.055	95293.862	100692.995	109767.527	114251.463	112409.37	109159.619	106369.912	103675.843	101233.056	99146.936	97635.66	96975.048	98565.822	103397.483	108263.954	108785.475	107498.558	103866.351	98222.114	92661.018
2/5/2015	RTO	88861.987	86958.957	86317.744	86912.632	89452.295	95484.803	105343.843	111723.738	112602.166	112616.524	112499.133	111260.966	109695.77	108404.167	107129.9	106823.302	109216.153	115615.053	122417.14	123694.661	123096.776	120228.086	115131.992	110156.731
2/6/2015	RTO	106844.677	105643.768	105472.849	105953.925	108311.663	113981.503	122847.123	127381.165	124753.352	121386.792	118523.547	115612.007	112284.281	109722.401	107725.679	106542.071	106712.093	109886.679	113924.384	113325.333	112047.666	108928.569	104657.861	99493.642
2/7/2015	RTO	95484.282	93254.969	92147.518	91653.577	91826.416	93432.472	96675.941	100017.343	102022.919	102342.836	100646.357	97412.386	93329.366	89930.516	87475.274	86303.715	86958.345	90716.978	95530.057	95785.93	94664.941	92392.459	88808.682	84969.132
2/8/2015	RTO	81513.507	79226.572	78177.192	77599.39	77997.689	79206.065	81611.823	84154.582	86376.258	87348.727	86570.147	85371.34	84201.469	82955.223	82192.851	82322.937	84315.167	88902.701	93683.748	93940.856	92495.43	89169.622	85054.297	80872.196
2/9/2015	RTO	77452.437	75751.486	75379.812	76214.344	78903.578	84915.282	94773.594	101065.332	102276.491	103101.435	104037.891	104231.716	104046.131	103830.308	103319.26	103704.201	105605.887	109804.414	113054.8	112566.558	110696.385	106660.127	100805.562	95203.714
2/10/2015	RTO	91451.746	89782.807	89328.95	89846.436	91880.09	97629.196	106709.761	112407.133	112837.908	112615.388	112005.229	110371.014	108450.701	106627.762	104777.075	103675.466	104216.756	108378.341	113706.262	114182.938	112810.194	109500.113	103556.521	97861.816
2/11/2015	RTO	94030.973	92302.266	91811.722	92309.028	94712.935	100641.349	110188.216	114516.011	112644.289	110164.465	107749.598	104940.848	102105.272	100250.116	98580.391	98163.575	99674.108	104223.836	109820.751	110395.806	109215.852	105705.415	100376.775	94654.466
2/12/2015	RTO	90623.27	88702.722	87932.556	88372.052	90574.929	96664.579	106059.973	111368.467	111045.838	110156.699	108944.159	107971.899	107310.837	106595.95	106226.354	106249.569	108128.12	112996.654	119160.7	120851.472	120449.691	118151.981	113639.14	109089.752
2/13/2015	RTO	106588.956	105759.845	105816.645	106966.231	109618.301	115317.724	124228.255	128760.747	127114.729	124531.871	121764.259	118647.348	115368.577	112650.843	110147.44	108746.218	109697.576	113888.77	119031.282	119265.725	118180.712	115592.691	111399.801	106437.06
2/14/2015	RTO	102598.072	100403.382	99013.756	98249.734	98345.348	99728.316	102497.457	105212.183	107800.77	109547.516	109747.358	108713.953	106817.616	104868.429	103273.308	102425.809	103780.676	107431.975	112534.457	113812.565	113421.197	112731.325	111054.839	109263.439
2/15/2015	RTO	108340.495	108384.228	108946.528	109967.67	111590.797	113967.137	117242.06	119757.335	121289.97	121821.074	120710.295	119016.421	116728.908	113985.661	111717.275	110857.365	112598.774	118316.03	125719.196	127475.449	126774.151	124796.816	121471.966	118269.543
2/16/2015	RTO	115799.532	114993.205	114643.036	115338.184	116884.053	121072.452	126900.464	130753.998	132212.846	132925.686	132552.781	130547.519	128515.968	127213.891	126349.371	125961.323	127053.43	130389.014	134182.783	133383.508	130681.81	126450.622	120492.125	115177.047
2/17/2015	RTO	111777.118	109998.726	109230.557	109579.217	111176.512	115018.499	121233.197	125025.087	126240.179	124877.25	122765.973	119537.905	116639.438	114282.831	112247.936	111379.73	112565.549	117166.426	123265.497	124109.311	122444.698	119114.973	113795.47	109516.519
2/18/2015	RTO	106542.391	105691.831	105837.504	106866.844	109220.893	114528.33	123116.987	127106.924	125447.071	121808.135	118852.525	116240.573	114329.831	112921.416	112053.997	112593.736	114784.629	119605.35	125758.005	126798.25	126070.751	123374.478	118885.44	114776.147
2/19/2015	RTO	112308.037	111506.276	111881.829	113336.681	116202.745	121807.713	129594.418	133522.225	133055.576	131648.503	129765.524	128345.804	126737.352	125716.218	124943.599	125213.927	127477.42	132392.411	138885.954	140385.985	139398.516	137113.533	132574.194	128427.765
2/20/2015	RTO	125664.654	124749.897	124783.677	125840.044	127861.048	132614.909	139530.158	143129.231	141840.319	138981.834	136111.531	132569.674	128896.343	125385.558	122339.085	121024.32	121612.546	125153.778	130983.166	131932.199	130984.583	128469.172	124215.91	119716.932
2/21/2015	RTO	115794.615	113624.579	112198.589	111672.192	111823.762	113206.523	115762.87	117516.967	118370.248	119440.517	119436.412	118438.077	116950.256	114880.242	112717.442	111260.173	111437.768	113376.652	116182.217	115007.019	111796.762	107847.276	103335.012	98365.096
2/22/2015	RTO	94328.666	91919.357	90712.541	90233.949	90356.174	91571.349	93725.037	95416.177	98059.735	99923.635	99269.234	97105.137	94933.802	92933.048	91393	91303.59	93015.078	98053.739	104324.011	106323.034	105586.188	102714.742	98799.281	94818.803
2/23/2015	RTO	92310.035	90988.907	90874.714	91941.117	94753.397	100689.574	110048.746	115430.393	117204.261	117038.902	116812.862	115631.422	113821.65	112080.311	110686.391	110451.312	112414.268	117207.861	124875.791	127774.553	127499.582	124785.304	120076.498	115573.318
2/24/2015	RTO	113038.393	112293.483	112469.669	113561.057	116331.941	122153.835	130662.73	134131.91	131619.003	127664.258	123917.024	120643.461	117815.916	115731.835	114180.525	113486.911	115093.725	118760.517	123987.972	125186.733	123438.16	119705.971	114019.469	108777.506
2/25/2015	RTO	104850.562	103412.62	102938.427	103536.773	105352.063	110698.537	119253.083	122289.269	119042.786	114968.653	111633.309	108481.131	105697.029	103887.873	102247.007	101717.683	103418.194	107515.28	113837.863	115072.368	113933.414	110690.933	105185.027	99941.106
2/26/2015	RTO	96184.901	94425.617	93982.775	94535.095	96754.225	102024.873	110487.571	114913.44	116126.977	116134.71	115534.256	113416.784	111169.754	109436.664	108387.752	107999.008	109107.863	112816.04	117999.642	119358.501	118457.111	115204.804	110028.458	104997.646
2/27/2015	RTO	101798.642	100212.63	99729.604	100389.127	102570.297	108019.371	116914.174	121066.645	119701.774	116521.198	114082.568	111431.117	109087.849	107330.231	105622.215	104454.325	105325.674	108857.669	115203.534	117755.35	117731.142	115900.166	112363.102	108312.014
